Timestamp,Imagem,Tipo,Valores
2025-02-19 12:18:11,./mnt/data/P1_ALIGN.png,Comprimento Total,[np.float64(67.03703703703704)]
2025-02-19 12:18:11,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(4.841269841269842), np.float64(3.2010582010582014), np.float64(1.560846560846561)]"
2025-02-19 12:18:43,./mnt/data/P1_ALIGN.png,Comprimento Total,[np.float64(67.03703703703704)]
2025-02-19 12:18:43,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(5.634920634920635), np.float64(4.841269841269842), np.float64(3.994708994708995), np.float64(3.2010582010582014), np.float64(2.4074074074074074), np.float64(1.560846560846561), np.float64(5.423280423280423)]"
2025-02-19 12:18:57,./mnt/data/P1_ALIGN.png,Comprimento Total,[np.float64(67.03703703703704)]
2025-02-19 12:18:57,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(5.9523809523809526), np.float64(5.370370370370371), np.float64(4.841269841269842), np.float64(4.3121693121693125), np.float64(3.7301587301587302), np.float64(3.2010582010582014), np.float64(2.671957671957672), np.float64(2.08994708994709), np.float64(1.560846560846561), np.float64(4.417989417989419), np.float64(5.423280423280423)]"
2025-02-19 12:21:59,./mnt/data/P1_ALIGN.png,Comprimento Total,[np.float64(67.03703703703704)]
2025-02-19 12:22:00,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(5.9523809523809526), np.float64(5.370370370370371), np.float64(4.841269841269842), np.float64(4.3121693121693125), np.float64(3.7301587301587302), np.float64(3.2010582010582014), np.float64(2.671957671957672), np.float64(2.08994708994709), np.float64(1.560846560846561), np.float64(4.417989417989419), np.float64(5.423280423280423)]"
2025-02-19 12:22:16,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p2__ALIGN.png,Comprimento Total,[np.float64(66.71957671957672)]
2025-02-19 12:22:16,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p2__ALIGN.png,Diâmetros,"[np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(6.164021164021165), np.float64(5.9523809523809526), np.float64(5.423280423280423), np.float64(4.894179894179895), np.float64(4.365079365079366), np.float64(3.7830687830687832), np.float64(3.2539682539682544), np.float64(2.724867724867725), np.float64(2.1693121693121693), np.float64(1.613756613756614), np.float64(6.216931216931218), np.float64(6.269841269841271)]"
2025-02-19 12:24:44,./mnt/data/P1_ALIGN.png,Comprimento Total,[np.float64(67.03703703703704)]
